Term,Translation,Context,Reference,Comment,Reference translation
web.forms.page.filling.geopoint.error.request.timeout,Die Anforderung zum Abrufen des Benutzerstandorts ist abgelaufen.,Error message that appears when a geopoint field is shown in a browser and the system times out before getting a valid location.,,,
web.forms.page.filling.geopoint.error.unknown,Ein unbekannter Fehler ist aufgetreten.,Error message that appears when a geopoint field is shown in a browser and some unknown error prevents the system from reading the current location.,,,
web.forms.page.filling.geopoint.latitude,Breitengrad,This is the text that appears immediately before the latitude value once you've recorded your location in a geo field.,,,
web.forms.page.filling.geopoint.longitude,Längengrad,This is the text that appears immediately before the longitude value once you've recorded your location in a geo field.,,,
web.forms.page.filling.geopoint.record.location.button,Standort erfassen,The primary button label in a geo field before you've recorded a location.,,,
web.forms.page.filling.geopoint.replace.location.button,Standort ersetzen,This is the button label once you've recorded a location in a geo field.,,,
web.forms.page.filling.go.to.button,Gehe zu,The label for the 'go to' button.,,,
web.forms.page.filling.go.to.UI.close,Schließen,The label for the red button in the 'go to' screen used to exit the 'go to' screen.,,,
web.forms.page.filling.go.to.UI.go.there,Dorthin gehen,The label for the button next to each field in the 'go to' screen.,,,
web.forms.page.filling.go.to.UI.go.to.end,Zum Ende gehen,The button label in the 'go to' screen for progressing to the end of the form.,,,
web.forms.page.filling.go.to.UI.go.to.start,Zum Anfang gehen,The button label in the 'go to' screen for returning to the beginning of the form. ,,,
web.forms.page.filling.go.to.UI.go.up,Nach oben,The button label in the 'go to' UI for when you are currently within an instance of a repeat group and you would like to 'go up' a level.,,,
web.forms.page.filling.go.to.UI.resume,Fortsetzen,"When you return to a saved form to continue filling it out, this is the button label in the 'go to' UI for resuming where you left off.",,,
web.forms.page.filling.image.annotate.hint,Bitte laden Sie ein kommentiertes Bild hoch.,This is the message that appears above the buttons when filling out an image field with the 'annotate' appearance in a web form. ,,,
web.forms.page.filling.image.draw.hint,Bitte laden Sie ein gezeichnetes Bild hoch.,This is the message that appears above the buttons when filling out an image field with the 'draw' appearance in a web form. ,,,
web.forms.page.filling.image.select.file.button,Bild auswählen,Button label in an image field for selecting an existing image. ,,,
web.forms.page.filling.image.signature.hint,Bitte laden Sie ein Bild mit Ihrer Unterschrift hoch.,This is the message that appears above the buttons when filling out an image field with the 'signature' appearance in a web form. ,,,
web.forms.page.filling.image.take.picture.button,Bild aufnehmen,Button label in an image field for taking a new picture.,,,
web.forms.page.filling.input.field.placeholder.label,Ihre Antwort hier…,"This is the placeholder text for the input boxes in text, decimal, and integer fields. ",,,
web.forms.page.filling.integer.error.not.integer,Bitte geben Sie nur eine ganze Zahl ein.,The error message when you try to enter a non-integer into an integer field.,,,
web.forms.page.filling.intro.text.line1,"Sie sind am Beginn einer Umfrage. Wenn sie bereit sind, klicken Sie bitte auf die {0}-Schaltfläche unten oder rechts.",Default message that appears at the beginning of a form.,,,
web.forms.page.filling.intro.text.line2,"Am Ende werden Sie die Möglichkeit haben, Ihre Antworten abzuschicken.",Default message that appears at the beginning of a form.,,,
web.forms.page.filling.last.screen.hint,"Klicken Sie auf die Schaltfläche unten, um das aktuell ausgefüllte Formular abzusenden.",This is the hint that appears on the last screen of a form for anonymous users (users who are not logged in to your server). It replaces the options to name and finalize the form.,,,
web.forms.page.filling.last.screen.mark.finalized.checkbox,Vorlage als abgeschlossen markieren,The checkbox label when a logged-in user reaches the end of a form.,,,
web.forms.page.filling.last.screen.name.label,Dieser Vorlage einen Namen geben,The input box label when a logged-in user reaches the end of a form.,,,
web.forms.page.filling.last.screen.save.exit.button,Speichern und Beenden,The button label for logged-in users when they reach the end of a form. ,,,
web.forms.page.filling.last.screen.submit.button,Abschicken,The button label for anonymous users (users who are not logged in to your server) when they reach the end of a form. ,,,
web.forms.page.filling.last.screen.title,Sie befinden sich am Ende von {0},This is the headline on the last screen of a form. {0} gets replaced with the current form title and must be included in your translation.,,,
web.forms.page.filling.login.panel.loggedin.as,Sie sind angemeldet als,"This appears in the user dropdown menu in the top right for logged-in users, and is followed by the user's email address.",,,
web.forms.page.filling.login.panel.login.and.continue.btn,Anmelden und Fortfahren,The button label in the user dropdown menu in the top right for anonymous users (users who are not logged in to your server).,,,
web.forms.page.filling.login.panel.login.btn,Anmelden,,,,
web.forms.page.filling.login.panel.logout.btn,Abmelden,The button label in the user dropdown menu in the top right for logged-in users. ,,,
web.forms.page.filling.login.panel.not.loggedin.long,Sie sind nicht angemeldet,This appears in the user dropdown menu in the top right for anonymous users (users who are not logged in to your server).,,,
web.forms.page.filling.login.panel.not.loggedin.short,Nicht angemeldet,This is the label for the user dropdown menu in the top right for anonymous users (users who are not logged in to your server).,,,
web.forms.page.filling.menu.add.comment,Kommentar hinzufügen,"If your form contains a comments field, this is the menu option label to leave a comment. ",,,
web.forms.page.filling.menu.appearance,Erscheinungsbild,UNUSED: depreciated in SCTO_v2.70.14,,This term was replaced by web.forms.page.filling.menu.width.label.,
web.forms.page.filling.menu.appearance.default,Standard,UNUSED: depreciated in SCTO_v2.70.14,,This term was replaced by web.forms.page.filling.menu.width.default,
web.forms.page.filling.menu.appearance.small,Klein,UNUSED: depreciated in SCTO_v2.70.14,,This term was replaced by web.forms.page.filling.menu.width.narrow,
web.forms.page.filling.menu.appearance.small.wide,Klein breit,UNUSED: depreciated in SCTO_v2.70.14,,This term was replaced by web.forms.page.filling.menu.width.narrow,
web.forms.page.filling.menu.appearance.wide,Breit,UNUSED: depreciated in SCTO_v2.70.14,,This term was replaced by web.forms.page.filling.menu.width.wide,
web.forms.page.filling.menu.clear.responses,Antworten löschen,The option in the 'options' dropdown menu to remove your response from the current field. ,,,
web.forms.page.filling.menu.exit.to.main.menu,Zurück zum Hauptmenü,Logged-in users will see this option in the 'options' dropdown menu.,,,
web.forms.page.filling.menu.options,Optionen,The label for the 'options' dropdown menu.,,,
web.forms.page.filling.menu.remove.current.repeat.instance,Aktuelle Repeat-Instanz entfernen,"In a repeat group, this option will be available in the 'options' dropdown menu.",,,
web.forms.page.filling.menu.save.form,Vorlage speichern,Logged-in users will see this option in the toolbar.,,,
web.forms.page.filling.menu.skip.to.next,Weiter zum nächsten,Logged-in users will see this option in the 'options' dropdown menu.,,,
web.forms.page.filling.menu.start.over,Neu anfangen,This is the option in the 'options' dropdown menu to discard all the current responses and start over from a blank form.,,,
web.forms.page.filling.menu.validate.form,Vorlage validieren,Logged-in users will see this option in the 'options' dropdown menu.,,,
web.forms.page.filling.menu.width.default,Standard,The default setting for form width,,Added in SCTO_v2.70.14.,
web.forms.page.filling.menu.width.label,Breite,The setting to control the width that the form appears on the page.,,Added in SCTO_v2.70.14.,
web.forms.page.filling.menu.width.narrow,Schmal,The narrow setting for form width.,,Added in SCTO_v2.70.14.,
web.forms.page.filling.menu.width.very.narrow,Sehr schmal,The narrowest setting for form width.,,Added in SCTO_v2.70.14.,
web.forms.page.filling.menu.width.wide,Breit,The wide setting for form width.,,Added in SCTO_v2.70.14.,
web.forms.page.filling.nav.end,Zum Ende gehen,The tooltip that appears when you hover over the circle 'go to end' button.,,,
web.forms.page.filling.nav.next,Weiter,The tooltip that appears when you hover over the circle 'next' button.,,,
web.forms.page.filling.nav.previous,Zurück,The tooltip that appears when you hover over the circle  'previous' button.,,,
web.forms.page.filling.nav.start,Zum Anfang gehen,The tooltip that appears when you hover over the circle 'go to start' button. ,,,
web.forms.page.filling.next.button,Weiter,The button label for the blue 'next' button at the bottom right. ,,,
web.forms.page.filling.numerical.error.not.numeric,Bitte geben Sie eine Zahl ein.,Error message that appears when the user is prompted for a decimal value and enters something invalid.,,,
web.forms.page.filling.popups.add.comment.intro,Bitte geben Sie im Feld unten Ihren Kommentar ein:,This is the field label in the pop-up to add a comment.,,,
web.forms.page.filling.popups.add.comment.save.button,Kommentar speichern,This is the button label in the pop-up to save a comment.,,,
web.forms.page.filling.popups.add.comment.title,Kommentar hinzufügen,This is the title of the pop-up to add a comment.,,,
web.forms.page.filling.popups.add.new.group.message,"Eine neue ""{0}""-Gruppe hinzufügen?",{0} gets replaced with the repeat group label and must be included in your translation.,,,
web.forms.page.filling.popups.add.new.group.negative.button,Nicht hinzufügen,The button label to not add a new group in the 'add new group' pop-up for repeat groups.,,,
web.forms.page.filling.popups.add.new.group.positive.button,Gruppe hinzufügen,The button label to add a new group in the 'add new group' pop-up for repeat groups.,,,
web.forms.page.filling.popups.add.new.group.title,Neue Gruppe hinzufügen?,The title of the 'add new group' pop-up for new repeat groups (when there are no existing instances).,,,
web.forms.page.filling.popups.add.one.more.group.message,"Eine weitere ""{0}""-Gruppe hinzufügen?",This is the message in the pop-up for adding a repeat group when there is already at least one instance. {0} gets replaced with the repeat group label and must be included in your translation.,,,
web.forms.page.filling.popups.add.one.more.group.title,Eine weitere Gruppe hinzufügen?,The title of the 'add new group' pop-up for repeat groups that contain at least one instance already.,,,
web.forms.page.filling.popups.cancel.button,Abbrechen,Generic button label for all 'cancel' buttons in pop-ups.,,,
web.forms.page.filling.popups.capture.media.done.button,Fertig,The button label to save the current snapshot in the 'capture media' pop-up.,,,
web.forms.page.filling.popups.capture.media.take.button,Bild aufnehmen,The button label to take a picture in the 'capture media' pop-up.,,,
web.forms.page.filling.popups.capture.media.title,Medien erfassen,The title of the 'capture media' pop-up.,,,
web.forms.page.filling.popups.clear.responses.prompt.button,Alle Antworten löschen,The button label to clear all responses in the confirmation pop-up when you attempt to clear responses. ,,,
web.forms.page.filling.popups.clear.responses.prompt.message,Alle Antworten auf der aktuellen Seite löschen?,The message in the confirmation pop-up when you attempt to clear responses. ,,,
web.forms.page.filling.popups.clear.responses.prompt.title,Bestätigen,The title of the confirmation pop-up when you attempt to clear responses. ,,,
web.forms.page.filling.popups.close.button,Schließen,Generic button label for all 'close' buttons in pop-ups.,,,
web.forms.page.filling.popups.confirm.discard.prompt.button,"Ja, ich bin mir sicher!",This is the button label to confirm exiting without saving in the pop-up when logged in users attempt to exit to main menu and then choose to discard changes.,,,
web.forms.page.filling.popups.confirm.discard.prompt.message,Dies wird alle neu eingegebenen Daten verwerfen. Sind Sie sicher?,This is the message in the pop-up when logged in users attempt to exit to main menu and then choose to discard changes.,,,
web.forms.page.filling.popups.confirm.discard.prompt.title,Zurückgehen bestätigen,This is the title of the pop-up when logged in users attempt to exit to main menu and then choose to discard changes.,,,
web.forms.page.filling.popups.confirm.title,Bestätigen,Generic pop-up title for confirmation pop-ups.,,,
web.forms.page.filling.popups.error.title,Fehler,Generic title of the pop-up window shown when an error message appears to the user and a more specific window title is not available.,,,
web.forms.page.filling.popups.exit.form.prompt.message,"Möchten Sie die Vorlage vor dem Verlassen speichern, oder alle Änderungen verwerfen?",This is the message in the pop-up when logged-in users attempt to exit to main menu.,,,
web.forms.page.filling.popups.exit.form.prompt.negative.button,Änderungen verwerfen,This is the button label to discard changes in the pop-up when logged-in users attempt to exit to main menu.,,,
web.forms.page.filling.popups.exit.form.prompt.positive.button,Änderungen speichern,This is the button label to save changes in the pop-up when logged-in users attempt to exit to main menu.,,,
web.forms.page.filling.popups.exit.form.prompt.title,Zurückgehen bestätigen,This is the title of the pop-up when logged-in users attempt to exit to main menu.,,,
web.forms.page.filling.popups.form.saved.confirmation.message,Vorlage erfolgreich gespeichert!,This is the message in the confirmation pop-up when a logged-in user saves their form successfully.,,,
web.forms.page.filling.popups.form.validated.confirmation.message,Validierung erfolgreich!,This is the message in the confirmation pop-up when a logged-in user validates their form successfully.,,,
web.forms.page.filling.popups.form.validated.go.to.end.button,Zum Ende gehen,This is the button label in the confirmation pop-up when a logged-in user validates their form successfully.,,,
web.forms.page.filling.popups.no.cookies.line1,"Wir haben gemerkt, dass sie ""Cookie""-Unterstützung für diese Seite deaktiviert haben. Das können Sie zwar tun, allerdings können Sie dann eine angefangene Umfrage nicht fortsetzen, falls Ihre Sitzung aus irgendeinem Grund unterbrochen werden sollte.",The warning message that appears when a user has disabled cookies.,,,
web.forms.page.filling.popups.no.cookies.line2,"Teilen Sie bitte außerdem diese URL, unter der Sie diese Umfrage ausfüllen, mit niemandem. Andernfalls können diese Personen Ihre Sitzung sehen und fortsetzen.",The warning message that appears when a user has disabled cookies.,,,
web.forms.page.filling.popups.remove.instance.prompt.button,"Ja, entfernen",This is the button label in the confirmation pop-up when you try to remove the current repeat instance.,,,
web.forms.page.filling.popups.remove.instance.prompt.message,Entfernen der Gruppe bestätigen,This is the title of the confirmation pop-up when you try to remove the current repeat instance.,,,
web.forms.page.filling.popups.remove.instance.prompt.title,"Gruppe ""{0}"" und alle Untergruppen entfernen?",This is the message in the confirmation pop-up when you try to remove the current repeat instance. {0} gets replaced by the repeat group label and instance number and must be included in your translation.,,,
web.forms.page.filling.popups.resume.prompt.message,"Sie haben bereits angefangen, diese Vorlage auszufüllen und zuletzt am {0} verändert. Möchten Sie von diesem Stand aus fortsetzen, oder diese Version verwerfen und neu anfangen? (Falls Sie neu anfangen, werden ältere Änderungen verworfen und Sie können diese Entscheidung nicht mehr rückgängig machen.)",This is the message in the 'resume form' pop-up that is presented when a logged-in user returns after their session expires. {0} gets replaced with the date and time of the last form session and must be included in your translation.,,,
web.forms.page.filling.popups.resume.prompt.negative.button,Verwerfen,This is the button label to discard the old form in the 'resume form' pop-up that is presented when a logged-in user returns after their session expires. ,,,
web.forms.page.filling.popups.resume.prompt.positive.button,Fortfahren,This is the button label to resume filling out the old form in the 'resume form' pop-up that is presented when a logged-in user returns after their session expires. ,,,
web.forms.page.filling.popups.resume.prompt.title,Unvollendete Vorlage gefunden,This is the title of the 'resume form' pop-up that is presented when a logged-in user returns after their session expires. ,,,
web.forms.page.filling.popups.resume.different.caseid.negative.button,{0} fortsetzen,The button label to continue filling out the partially-filled form from memory. {0} will be replaced by the case ID from memory and must be included in your translation.,,,
web.forms.page.filling.popups.resume.different.caseid.positive.button,{0} starten,The button label to start a brand new form with a new case iD. {0} will be replaced by the case ID from the current URL and must be included in your translation.,,,
web.forms.page.filling.popups.resume.different.caseid.title,Warnung,The title of the pop-up message prompting which case ID to use.,,,
web.forms.page.filling.popups.start.over.prompt.button,Änderungen verwerfen,This is the button label to discard changes in the pop-up when you attempt to start over.,,,
web.forms.page.filling.popups.start.over.prompt.message,Alle Änderungen verwerfen und mit leerer Vorlage neu anfangen?,This is the message in the pop-up when you attempt to start over.,,,
web.forms.page.filling.popups.start.over.prompt.title,Verlassen bestätigen,This is the title of the pop-up when you attempt to start over.,,,
web.forms.page.filling.popups.success.title,Erfolg,Generic title of 'success' type pop-ups.,,,
web.forms.page.filling.popups.warning.title,Warnung,Generic title of 'warning' type pop-ups. ,,,
web.forms.page.filling.repeat.table.add.row.button,Zeile hinzufügen,,,,
web.forms.page.filling.repeat.table.back.level.button,Eine Ebene zurück,Tooltip when you hover over the arrow button in the top left of the table summary in a repeat group with the 'table' or 'table-labeled' appearance.,,,
web.forms.page.filling.repeat.table.label,Zusammenfassung,The heading just above the summary table in a repeat group with the 'table' or 'table-labeled' appearance.,,,
web.forms.page.filling.select1.minimal.label,Eine Antwort auswählen,The first option in the dropdown in a select_one field with the 'minimal' appearance.,,,
web.forms.page.filling.selectx.minimal.remove.response.button.label,Antwort entfernen,The button label to remove responses in a select_multiple field with the 'minimal' appearance.,,,
web.forms.page.filling.text.error.numbers.appearance.invalid.input,"Tut uns leid, Sie können hier nur Zahlen, Minuszeichen (-), Pluszeichen (+), Kommas (,), Punkte(.) und Leerzeichen ( ) einfügen.","Error message that appears when the user enters one or more invalid characters into a field that uses the ""numbers"" appearance for showing the numeric keypad on mobile devices.",,,
web.forms.page.filling.text.error.numbers.phone.appearance.invalid.input,"Tut uns leid, Sie können hier nur Telefonnummern, Minuszeichen (-), Pluszeichen (+), Punkte (.), Rauten (#), Sterne (*) und Leerzeichen ( ) einfügen.","Error message that appears when the user enters one or more invalid characters into a field that uses the ""numbers_phone"" appearance for showing the phone-number keypad on mobile devices.",,,
web.forms.page.filling.text.error.url.appearance.blank,Keine URL angegeben.,"Error message that appears when the user clicks to open the URL on a field with the ""url"" appearance but there is no URL to open.",,,
web.forms.page.filling.text.url.appearance.button,URL öffnen,,,,
web.forms.page.filling.thankyou.not.submitted.text,Danke! Keine Daten wurden abgeschickt.,The message after you 'submit' a form in the test view of the Form Designer but choose to discard the data.,,,
web.forms.page.filling.thankyou.not.submitted.title,Daten nicht abgeschickt,The title after you 'submit' a form in the test view of the Form Designer but choose to discard the data.,,,
web.forms.page.filling.thankyou.submitted.text,Danke! Ihre Daten wurden erfolgreich abgeschickt.,The message after you submit a form.,,,
web.forms.page.filling.thankyou.submitted.title,Umfrage erfolgreich abgeschickt,The title after you submit a form.,,,
web.forms.page.filling.unknown.field.type.error.not.supported,Felder vom Typ '{0}' können in der Webansicht nicht dargestellt werden, es wird stattdessen ein Textfeld verwendet.,Error message that appears when a field with an unknown field type appears in a web form. {0} gets replaced with the field label and must be included in your translation.,,
web.forms.page.filling.video.select.file.button,Videodatei auswählen,The button label in a 'video' field type.,,,
web.forms.page.forms.header,Eine leere Vorlage zum Ausfüllen auswählen:,The heading text at the top of the 'fill blank form' page.,,,
web.forms.page.forms.title,Leere Vorlage ausfüllen,The page title of the 'fill blank form' page.,,,
web.forms.page.main.download.app.button,App herunterladen,The button label on the main menu page.,,,
web.forms.page.main.edit.saved.form.button,Gespeicherte Vorlage bearbeiten,The button label on the main menu page (only available to logged-in users).,,,
web.forms.page.main.fill.blank.form.button,Leere Vorlage ausfüllen,The button label on the main menu page for logged-in users to get to the 'fill blank form' page.,,,
web.forms.page.main.manage.cases.button,Beobachtungen verwalten,The button label on the main menu page (only available to logged-in users).,,,
web.forms.page.main.sub.title,Sichere und qualitativ hochwertige Datenerfassung,The page subheading on the main menu page (only visible to logged-in users).,,,
web.forms.page.main.title,Hauptmenü,The page title of the main menu page (only visible to logged-in users).,,,
web.forms.page.session.error.resume.failed,Fortsetzen ab der letzten gespeicherten Position nicht möglich: {0},"This is the error message that appears if you try to resume filling out a form from the last saved position, and an unknown error occurs. {0} gets replaced with the path to the last saved position, which includes the field name and the names of any field groups in which the field is located, and must be included in your translation.",,Added in SCTO_v2.70.8.,
web.forms.page.session.error.resume.point.invalid,Die letzte gespeicherte Position konnte keinem Platz in der Umfrage zugeordnet werden: {0},"This is the error message that appears if you try to resume filling out a form from the last saved position, but the last saved position can't be found in the form. {0} gets replaced with the path to the last saved position, which includes the field name and the names of any field groups in which the field is located, and must be included in your translation.",,Added in SCTO_v2.70.8.,
web.forms.page.session.error.resume.point.not.found,"Es liegt leider keine gespeicherte Position für diese Vorlage vor, von der aus fortgefahren werden kann.","This is the error message that appears if you try to resume filling out a form from the last saved position, but there is no restore point found.",,Added in SCTO_v2.70.8.,
web.forms.page.session.error.session.expired,"Diese Seite ist wahrscheinlich abgelaufen, weil Sie längere Zeit inaktiv waren. Bitte aktualisieren Sie diese Seite, um fortzufahren.",This is the message that appears if you try to continue filling out a form but the session has expired.,,Added in SCTO_v2.70.8.,
web.forms.page.session.error.session.lost.message.body.anonymous,"Waren Sie bereits angemeldet? Falls ja, klicken Sie auf {0}, um sich erneut anzumelden. Klicken Sie andernfalls auf {1}, um eine neue Sitzung zu starten.","When a form session is lost, and you are not logged in, this is the second part of the message that appears. {0} gets replaced with the text from the ""Log in"" button in the current language, and must be included in your translation. {1} gets replaced with the text from the ""Start over"" button in the current language and must be included in your translation.",,Added in SCTO_v2.70.8.,
web.forms.page.session.error.session.lost.message.body.logged.in,"Bitte klicken Sie {0}, um eine neue zu starten.","When a form session is lost, and you are logged in, this is the second part of the message that appears. {0} gets replaced with the text from the ""Start over"" button in the current language and must be included in your translation. ",,Added in SCTO_v2.70.8.,
web.forms.page.session.error.session.lost.message.prefix,"Es tut uns leid, aber wir können Ihre Sitzung nicht finden!","When a form session is lost, this is the first part of the message that appears.",,Added in SCTO_v2.70.8.,
web.forms.page.session.error.session.lost.title,Ein Fehler ist aufgetreten,"When a form session is lost, this is the page title for the error page you land on.",,Added in SCTO_v2.70.8.,
web.forms.page.shared.form,Vorlage,Form (singular). This is used in multiple places throughout the UI.,,Added in SCTO_v2.70.14.,
web.forms.page.shared.forms,Vorlagen,Forms (plural). This is used in multiple places throughout the UI.,,Added in SCTO_v2.70.14.,
web.forms.page.shared.form.delete.button,Löschen,The button label for deleting a form on the 'delete saved form' page (only available to logged-in users).,,,
web.forms.page.shared.form.fill.out,Ausfüllen,The button label for filling out a form from any of the main menu sub-pages.,,,
web.forms.page.shared.form.resume.button,Fortsetzen,The button label for resuming a form from the 'edit saved form' page (only available to logged-in users).,,,
web.forms.page.shared.form.title,Titel,,,,
web.forms.page.shared.no.forms.msg,Es sind keine Instanzen vorhanden.,The message when there are no saved forms on any of the main menu pages (only available to logged-in users).,,,
web.forms.page.shared.return.to.main.page.button,Zurück zum Hauptmenü,The button label for returning to the main menu when you are on any of the main menu sub-pages.,,,
web.forms.page.filling.date.months.april,April,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,
web.forms.page.filling.date.months.august,August,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,
web.forms.page.filling.date.months.december,Dezember,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,
web.forms.page.filling.date.months.february,Februar,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,
web.forms.page.filling.date.months.january,Januar,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,
web.forms.page.filling.date.months.july,Juli,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,
web.forms.page.filling.date.months.june,Juni,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,
web.forms.page.filling.date.months.march,März,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,
web.forms.page.filling.date.months.may,Mai,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,
web.forms.page.filling.date.months.november,November,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,
web.forms.page.filling.date.months.october,Oktober,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,
web.forms.page.filling.date.months.september,September,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,
